,What is your gender?,What is your current level of education?,With whom did you spend your lockdown days?,"Do you think the pandemic and the subsequent lockdown has altered your outlook on life? If yes, whether negatively or positively?",Has the lockdown had an impact on your physical health?,Rate your lockdown experiences on a scale of 1-5  based on the following feelings. ,How often did you do something productive?,Did you do anything for academic improvement?,How did you spend most of your time during the lockdown,Did you do anything for fun and recreation? ,"The average number of hours you spent on social media, in a day? ",How have your eating habits changed?,How has your body weight changed through the lockdown?,Did you experience a loss of appetite?,How often did you exercise?,What made up most of your diet?,To what do you most attribute your eating behavior?,Choose the word that best describes your lockdown experience.,How did you feel in regards to your studies or career?,How do/ did you feel most of the time?,Did you experience a tragic loss of something important?,How often did you indulge in the things you liked to do before?,How would you describe your sleep cycle?,Describe your relationship with your family and friends.,Have ever suffered from a mental illness? if yes what course of action was taken? if not choose NA 1,Have ever suffered from a mental illness? if yes  what course of action was taken? if not choose NA 2,"Please write a very short summary of your lockdown experience in terms of your physical, mental, and emotional health.",Editor's note: We hope you liked our questionnaire; Let us know how much.,,Output Level (1-5),Remarks (section wise rating: I+ II+ III+ IV+ V),
07/10/2020 22:55,Male,Under graduate,At home with family,No effect,Yes,3,Often,Yes,Household chores,No,1-2 hours,I overeat,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Humbling,Excited,"Satisfied, Moody",No,Sometimes,Normal,Comforting and warm,NA,NA,Humbling,4,,2.29=2,0.35+0.31+0.56+0.76+0.31,
07/11/2020 0:05,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,3,Sometimes,No,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Hunger,Numb,Motivated,"Happy, Agitated/ Irritable, Sad",Yes,Sometimes,Disturbed,Comforting and warm,NA,Yes,it somewhere disturbed me mentally and emotionally that i was in a kind of depression because of my studies and many more things going in home but it was heaven to live with family as i study abroad. ,5,,4.13=4,0.4+0.46+0.63+0.66+1.98,
07/11/2020 2:02,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Maybe,3,Rarely,Yes,Studying /being academically inclined,No,1-2 hours,I under eat,I've lost weight,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,"Happy, Satisfied",No,Rarely,Disturbed,Fun and expressive,NA,NA,excellent 😏,5,,2.49=2,0.45+0.25+0.44+0.68+0.67,
07/11/2020 3:13,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Rarely,No,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I under eat,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Chaotic,Anxious,"Agitated/ Irritable, Moody",No,Sometimes,Disturbed,Fun and expressive,NA,NA,"There was no physical improvement, I felt I became lazy. And when you have ample time, you tend to overthink which degrades your mental state. ",4,,3.36=3,0.4+0.31+0.99+0.77+0.89,
07/11/2020 3:48,Male,Under graduate,At home with family,No effect,Maybe,3,Often,Yes,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Never,Regular home cooked food,Boredom,Humbling,Excited,"Happy, Satisfied, Moody",No,Sometimes,Disturbed,Comforting and warm,NA,NA,Balanced,5,,2.97=3,0.35+0.28+0.89+0.79+0.66,
07/11/2020 7:25,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",No,2,Sometimes,Yes,Studying /being academically inclined,No,1-2 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Emotional distress,Chaotic,Anxious,Sad,Yes,Sometimes,Normal,Comforting and warm,NA,NA,"I am physically fit, but bit little emotional ,although we are taking online classes but it may cause very harmful effects on our eyes. ",5,,3.55=4,0.45+0.57+0.63+0.95+0.95,
07/11/2020 8:10,Male,Under graduate,At home with family,No effect,Maybe,2,Sometimes,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Chaotic,Anxious,Satisfied,No,Often,Lack of sleep,Comforting and warm,No,No,Physical health was mostly unchanged while emotional and mental health got better.,4,,3.21=3,0.35+0.33+0.94+0.68+.091,
07/11/2020 10:03,Male,Under graduate,Alone,"Yes, i'm more optimistic now",Yes,2,Sometimes,Yes,"Studying /being academically inclined, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Numb,Didn't think about it,Satisfied,No,Rarely,Lack of sleep,Comforting and warm,NA,NA,Not good,4,,3.27=3,0.45+0.31+0.66+0.88+0.97,
07/11/2020 10:10,Female,Under graduate,At hostel/flat with friends,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,Household chores,"Yes, I pursued my hobbies",3-4 hours,I under eat,I've gained weight,Significantly,Somedays,Regular home cooked food,Emotional distress,Humbling,Motivated,Moody,Yes,Rarely,Disturbed,Toxic and Argumentative,Yes,Yes,"Its been a roller coaster. Somedays I feel like I'm doing great and learning about life, on other days I'm crying for no apparent reason. Most of all, I want some people back in my life, I miss them!",4,,4.49=4,0.45+0.27+0.65+0.91+2.21,
07/11/2020 10:15,Male,Class 10-12,At home with family,No effect,Yes,2,Rarely,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",Less than 1 hour,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Emotional distress,Numb,Directionless,"Moody, Sad",Yes,Sometimes,Disturbed,Toxic and Argumentative,NA,NA,Not good,3,,3.5=4,0.45+0.34+0.94+0.78+0.99,
07/11/2020 10:20,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,4,Sometimes,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Hunger,Pleasant,Anxious,"Happy, Satisfied",No,Sometimes,Normal,Fun and expressive,NA,NA,"My lockdown experience was quite pleasant and comforting. spend time with my family, played a lot of games and talked about life, childhood memories and what not. i would always cherish lockdown days.",4,,2.49=2,0.4+0.2+0.64+0.68+0.67,
07/11/2020 10:22,Female,Under graduate,At home with family,No effect,Yes,1,Often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,3-4 hours,I overeat,I've gained weight,Significantly,Never,Regular home cooked food,Emotional distress,Chaotic,Directionless,"Agitated/ Irritable, Moody, Sad",No,Sometimes,Disturbed,Toxic and Argumentative,No,No,"Realising that even though i love my parents and they support me, i cannot gel with them anymore after living alone, even though i can work on compters i absolutely despise it before and even now.",3,,3.5=4,0.4+0.36+0.87+0.88+0.99,
07/11/2020 10:25,Female,Under graduate,At home with family,No effect,Yes,3,Sometimes,Yes,"Netflix or Other OTT, Sleeping",No,3-4 hours,I overeat,I've gained weight,Not much,Never,Regular home cooked food,Boredom,Humbling,Didn't think about it,Satisfied,No,Rarely,Oversleeping,Comforting and warm,NA,NA,.,4,,3.27=3,0.4+0.31+0.96+0.84+0.76,
07/11/2020 10:28,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've lost weight,Significantly,Regularly,Regular home cooked food,Boredom,Pleasant,Motivated,Satisfied,Yes,Often,Disturbed,Comforting and warm,Yes,Yes,"Holistically, a more calm and peaceful experience as compared to what I'd anticipated",4,,3.98=4,0.4+0.21+0.53+0.74+2.1,
07/11/2020 10:32,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Emotional distress,Chaotic,Directionless,"Agitated/ Irritable, Moody, Sad",Yes,Rarely,Oversleeping,Formal and unyielding,No,No,Chaotic,4,,3.58=4,.04+0.46+0.86+0.97+0.89,
07/11/2020 10:36,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Maybe,2,Often,Yes,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Boredom,Numb,Anxious,"Happy, Agitated/ Irritable, Moody",No,Often,Oversleeping,Fun and expressive,NA,NA,"I keep waiting for things to go back to normal but they never do, so now I'm trying to tell myself that this is the new normal and I better get used to it.",4,,3.62=4,0.4+0.48+0.88+0.88+0.98,
07/11/2020 10:36,Female,Under graduate,At home with family,No effect,Yes,2,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping",No,Almost 6 hours,I overeat,I've gained weight,Not at all,Never,Binge ate crisps and snacks,Boredom,Chaotic,Directionless,Agitated/ Irritable,No,Sometimes,Disturbed,Formal and unyielding,NA,NA,Frustrating.,5,,3.51=4,0.4+0.34+0.91+0.97+0.89,
07/11/2020 10:36,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,No,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Numb,Directionless,Happy,No,Often,Disturbed,Comforting and warm,NA,NA,Experience of lockdown was quite good. Everything is normal as it was before but now i get to spend some more time with my family and trying to learn some other things(business related).,4,,3.39=3,0.35+0.23+0.96+0.88+0.97,
07/11/2020 10:37,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,"Studying /being academically inclined, Household chores","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Hunger,Humbling,Motivated,Happy,No,Often,Normal,Comforting and warm,NA,NA,"It was a fulfilling experience. I was able to work on my lifestyle, academics and lost interests. ",5,,1.69=2,0.4+0.21+0.35+0.39+0.34,
07/11/2020 10:39,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",More than 6 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,Moody,No,Sometimes,Normal,Comforting and warm,No,No,Everything Is good,4,,2.39=2,0.4+0.27+0.57+0.77+0.38,
07/11/2020 10:39,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,No,Household chores,No,3-4 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Boredom,Numb,Didn't think about it,Agitated/ Irritable,No,Sometimes,Lack of sleep,Comforting and warm,NA,NA,Mentally it has been stressful and frustrating for all of us yet it still gave us an opportunity to spend time with our families. ,1,,3.15=3,0.4+0.23+0.87+0.68+0.97,
07/11/2020 10:41,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Quite often,No,"Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",More than 6 hours,I overeat,I've gained weight,Significantly,Regularly,Regular home cooked food,Hunger,Pleasant,Didn't think about it,"Happy, Moody",No,Often,Normal,Fun and expressive,Yes,Yes,Good,5,,4.48=4,0.4+0.16+0.94+0.88+2.1,
07/11/2020 10:43,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Quite often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I under eat,I've lost weight,Somewhat,Regularly,Regular home cooked food,Hunger,Numb,Directionless,"Satisfied, Moody, Sad",Yes,Often,Normal,Comforting and warm,Yes,Yes,Has been great for my physical health. Exercise and yoga made me lose considerable weight. Although the time has been stressful for being away from my loved one and away from university. ,5,,4.11=4,0.4+0.27+0.53+0.61+2.3,
07/11/2020 10:58,Female,Under graduate,At home with family,No effect,Yes,1,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Numb,Anxious,"Agitated/ Irritable, Moody",No,Sometimes,Disturbed,Fun and expressive,NA,NA,"Physically I'm feeling disgusting... Mentally and emotionally, irritated and anxious",4,,3.52=4,0.4+0.36+0.89+0.89+0.98,
07/11/2020 10:59,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Rarely,Yes,Sleeping,"Yes, I pursued my hobbies",More than 6 hours,I overeat,I've gained weight,Significantly,Regularly,Regular home cooked food,Boredom,Chaotic,Excited,Satisfied,Yes,Sometimes,Oversleeping,Comforting and warm,NA,NA,Sab changaa si,5,,3.29=3,0.35+0.23+0.88+0.95+0.88,
07/11/2020 11:15,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,No,"Gaming, Netflix or Other OTT",No,3-4 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Hunger,Chaotic,Didn't think about it,Agitated/ Irritable,No,Sometimes,Normal,Comforting and warm,No,NA,Its irritable. The one word that suits for this lockdown.,4,,2.81=3,0.35+0.23+0.96+0.41+0.86,
07/11/2020 11:19,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've lost weight,Not at all,Regularly,Regular home cooked food,Hunger,Pleasant,Excited,Happy,No,Sometimes,Normal,Comforting and warm,No,No,"My physical health has improved quite a lot (regular exercising and healthy food). As for mental and emotional health, negativity persists but my relationships have improved- overall health improved. ",4,,1.44=1,0.4+0.26+0.23+0.23+0.32,
07/11/2020 11:22,Female,Under graduate,At home with family,No effect,Yes,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Not at all,Regularly,Regular home cooked food,Boredom,Humbling,Motivated,"Satisfied, Moody",No,Sometimes,Normal,Comforting and warm,NA,NA,It was okay. Some days were happy some were tiring. ,4,,2.45=2,0.4+0.31+0.53+0.63+0.58,
07/11/2020 11:31,Female,Under graduate,At home with family,No effect,Yes,4,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,"Happy, Moody",No,Often,Oversleeping,Comforting and warm,NA,NA,"I don't really find any effect on my mental health as such but yes, staying at home all the time causes distress and agitation but very rarely. My physical and emotional health has improved.",3,,2.92=3,0.4+0.29+0.77+0.78+0.68,
07/11/2020 11:34,Male,Under graduate,At home with family,No effect,Yes,3,Sometimes,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Boredom,Numb,Directionless,Moody,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,"I've been sleeping and waking up late, workouts twice a week, wasted a lot of time on Netflix, but attended few workshops which gave me a direction to work towards, still I'm sad and uncertain.",5,,3.46=4,0.35+0.41+0.84+0.88+0.98,
07/11/2020 11:38,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Rarely,Yes,"Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I overeat,Unchanged,Not at all,Somedays,Regular home cooked food,Boredom,Humbling,Anxious,Satisfied,No,Often,Disturbed,Comforting and warm,NA,NA,Lol,3,,2.94=3,0.35+0.31+0.96+0.66+0.66,
07/11/2020 12:04,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,1,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Boredom,Numb,Anxious,Moody,Yes,Sometimes,Normal,Comforting and warm,NA,NA,"Started eating healthier, working out, got easily irritable, frustrated over small things, felt hopeless and helpless, but learnt to find satisfaction in small pleasures ",4,,3.25=3,0.4+0.33+0.66+0.88+0.98,
07/11/2020 12:12,Male,Under graduate,At home with family,No effect,No,4,Rarely,No,"Gaming, Household chores","Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Satisfied,Yes,Often,Normal,Formal and unyielding,NA,NA,It’s fine. ,3,,2.88=3,0.35+0.18+0.91+0.67+0.77,
07/11/2020 12:22,Female,Under graduate,At home with family,No effect,Maybe,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I overeat,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Numb,Motivated,"Satisfied, Agitated/ Irritable, Sad",No,Sometimes,Normal,Comforting and warm,NA,NA,"My mental health in the lockdown has been full of ups and downs, someday i m fine but most i m just sad or numb. I m totally confused about even my emotions most of the times.",3,,3.11=3,0.4+0.28+0.62+0.83+0.98,
07/11/2020 12:48,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,4,Rarely,Yes,Studying /being academically inclined,No,3-4 hours,I eat in regulation,I've gained weight,Somewhat,Never,Fried/ junk food,Hunger,Pleasant,Didn't think about it,Moody,No,Rarely,Oversleeping,Fun and expressive,NA,NA,Mental as well as emotional health was good as I'm with my parents.,5,,2.69=3,0.35+0.2+0.45+0.91+0.78,
07/11/2020 12:48,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,4,Rarely,Yes,Studying /being academically inclined,No,3-4 hours,I eat in regulation,I've gained weight,Somewhat,Never,Fried/ junk food,Hunger,Pleasant,Didn't think about it,Moody,No,Rarely,Oversleeping,Fun and expressive,NA,NA,Mental as well as emotional health was good as I'm with my parents.,5,,2.69=3,0.35+0.2+0.45+0.91+0.78,
07/11/2020 13:17,Male,Under graduate,At home with family,No effect,No,3,Sometimes,Yes,"Studying /being academically inclined, Gaming, Sleeping","Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,Unchanged,Not much,Never,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Moody,No,Often,Normal,Comforting and warm,NA,NA,:),3,,2.93=3,0.35+0.27+0.89+0.66+0.76,
07/11/2020 13:22,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,3,Rarely,No,"Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Emotional distress,Humbling,Anxious,Sad,Yes,Rarely,Normal,Fun and expressive,NA,NA,Every thing has changed Not Even Thought About Careers,3,,3.56=4,0.45+0.46+0.96+0.88+0.81,
07/11/2020 13:41,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Quite often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Emotional distress,Chaotic,Anxious,Agitated/ Irritable,No,Sometimes,Normal,Comforting and warm,NA,NA,"It has been taxing ,but soon enough I enrolled in an internship and my days go in a wink now . But other than that there is a lot of stress and I don't feel satisfied with anything",3,,3.31=3,0.4+0.49+0.63+0.91+0.88,
07/11/2020 14:34,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",More than 6 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,Moody,No,Sometimes,Normal,Comforting and warm,No,No,Everything Is good,4,,2.48=2,0.4+0.27+0.35+0.67+0.79,
07/11/2020 15:32,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Maybe,1,Quite often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've gained weight,Significantly,Never,Regular home cooked food,Boredom,Numb,Motivated,Sad,Yes,Sometimes,Oversleeping,Formal and unyielding,No,No,Just plain bad but productive,4,,3.52=4,0.35+0.51+0.79+0.88+0.99,
07/11/2020 16:06,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,1,Rarely,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",More than 6 hours,I overeat,I've gained weight,Not at all,Somedays,Binge ate crisps and snacks,Boredom,Numb,Anxious,"Agitated/ Irritable, Sad",Yes,Rarely,Oversleeping,Formal and unyielding,NA,Yes,Its just one long day,5,,4.6=5,0.4+0.34+0.96+0.94+0.96,
07/11/2020 17:58,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Maybe,3,Sometimes,Yes,"Gaming, Sleeping","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,Unchanged,Somewhat,Never,Regular home cooked food,Hunger,Numb,Anxious,"Happy, Satisfied, Agitated/ Irritable, Moody, Sad",Yes,Often,Oversleeping,Comforting and warm,NA,NA,"Lockdown did help me get relaxed, and escape the hectic home-to-college and college-to-home cycle. Now that I am the master of my time, I believe I have been able to get more comfortable and relieved.",5,,3.66=4,0.35+0.46+0.96+0.98+0.91,
07/11/2020 18:48,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Often,Yes,Household chores,No,3-4 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Moody,No,Rarely,Normal,Comforting and warm,NA,NA,It was very different expirence,5,,2.41=2,0.4+0.23+0.62+0.75+0.41,
07/11/2020 19:22,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Quite often,Yes,"Studying /being academically inclined, Household chores","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not much,Never,Regular home cooked food,Hunger,Pleasant,Motivated,"Happy, Satisfied",No,Often,Normal,Comforting and warm,NA,NA,Got a sense of self awareness in this lockdown,5,,1.42=1,0.35+0.16+0.12+0.46+0.33,
07/11/2020 19:23,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,"Studying /being academically inclined, Gaming, Household chores","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Never,Regular home cooked food,Hunger,Humbling,Anxious,"Happy, Satisfied",No,Sometimes,Normal,Fun and expressive,Yes,Yes,"Physically, I gained weight and uneven body shape. During lockdown my mental abilities increased upto some extent and emotionally, I became much more stronger than before.",4,,3.92=4,0.4+0.27+0.54+0.61+2.1,
07/11/2020 19:32,Female,Under graduate,At home with family,No effect,No,2,Sometimes,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Chaotic,Directionless,Moody,No,Sometimes,Oversleeping,Comforting and warm,NA,NA,"My physical ,mental and emotional health is quite neutral",5,,3.1=3,0.4+0.3+0.65+0.86+0.89,
07/11/2020 20:03,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Humbling,Didn't think about it,Moody,No,Sometimes,Normal,Comforting and warm,No,Yes,Emotionally & mentally strong I'm build it,5,,3.46=3,.0.4+0.44+0.55+0.66+1.41,
07/11/2020 21:02,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Quite often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Directionless,Happy,Yes,Sometimes,Disturbed,Fun and expressive,NA,NA,Being at home i felt physically and mentally fit. Had a lot of fun talking to relatives and friends and sharing feelings. Also gave time to exercise and meditation. and emotions ,5,,2.69=3,0.4+0.21+0.44+0.87+0.69,
07/11/2020 21:26,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Numb,Motivated,Happy,Yes,Sometimes,Normal,Comforting and warm,No,No,It's quite a good time after so long i have spent my quality time with my close ones which gives me so much positivity for my after life and also in my academic career ....! ,5,,3.17=3,0.35+0.21+0.98+0.67+0.96,
07/11/2020 21:46,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Humbling,Motivated,"Happy, Satisfied",Yes,Rarely,Normal,Comforting and warm,NA,NA,It was okay. Like being at home is a matter of safety so it was fine.,4,,2.44=2,0.4+0.26+0.44+0.73+0.61,
07/11/2020 21:47,Female,Class 10-12,At home with family,No effect,Maybe,2,Sometimes,Yes,"Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",Almost 6 hours,I under eat,Unchanged,Significantly,Never,Regular home cooked food,Hunger,Humbling,Anxious,"Satisfied, Moody",No,Often,Disturbed,Comforting and warm,NA,NA,My emotional health wasn't good during the starting months. The lockdown was stressful and uncertain but with time i settled into this routine and turned my attention to the things i like.,4,,3.54=4,0.5+0.33+0.94+0.98+0.79,
07/11/2020 21:56,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,2,Rarely,No,"Gaming, Netflix or Other OTT, Sleeping",No,Less than 1 hour,I eat in regulation,Unchanged,Not much,Never,Regular home cooked food,Boredom,Pleasant,Anxious,"Happy, Moody",No,Often,Disturbed,Fun and expressive,NA,NA,It's was retrospective,4,,3.12=3,0.35+0.3+0.98+0.71+0.78,
07/11/2020 22:04,Female,Class 10-12,Alone,"Yes, i'm more pessimistic now",No,3,Quite often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I under eat,I've gained weight,Significantly,Somedays,Regular home cooked food,Hunger,Pleasant,Excited,Happy,Yes,Sometimes,Lack of sleep,Comforting and warm,Yes,Yes,Nothing special in lockdown,1,,4.36=4,0.52+0.44+0.44+0.86+2.1,
07/11/2020 23:27,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,"Studying /being academically inclined, Sleeping",No,1-2 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Chaotic,Excited,Satisfied,No,Sometimes,Normal,Comforting and warm,NA,NA,It was a Fine experience ,5,,2.75=3,0.35+0.43+0.45+0.68+0.84,
07/11/2020 23:45,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",No,1,Sometimes,No,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Never,Regular home cooked food,Emotional distress,Numb,Anxious,"Moody, Sad",Yes,Rarely,Disturbed,Comforting and warm,No,No,disastrous ,4,,3.54=4,0.4+0.5+0.79+0.87+0.98,
07/11/2020 23:47,Female,Under graduate,At home with family,No effect,No,3,Quite often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not much,Somedays,Binge ate crisps and snacks,Boredom,Pleasant,Directionless,Satisfied,No,Often,Disturbed,Fun and expressive,NA,NA,"It was fun in the start, but started getting in my head almost after 70 days",4,,2.89=3,0.4+0.27+0.63+0.8+0.79,
